"Date","Mean daily temperature, Fisher River near Dallas, Jan 01, 1988 to Dec 31, 1991"
"1988-01-10",25.38
"1988-01-11",25.78
"1988-01-12",26.38
"1988-01-13",27.03
"1988-01-14",26.4
"1988-01-15",24.53
"1988-01-16",22.9
"1988-01-17",22.03
"1988-01-18",21.18
"1988-01-19",20.43
"1988-01-20",20.02
"1988-01-21",18.83
"1988-01-22",18.27
"1988-01-23",17.52
"1988-01-24",17.1
"1988-01-25",18.68
"1988-01-26",20.2
"1988-01-27",20.8
"1988-01-28",20.93
"1988-01-29",20.73
"1988-01-30",20.68
"1988-01-31",21.73
"1988-02-01",22.63
"1988-02-02",23.33
"1988-02-03",24.18
"1988-02-04",24.38
"1988-02-05",24.53
"1988-02-06",24.83
"1988-02-07",25.35
"1988-02-08",26.43
"1988-02-09",27.33
"1988-02-10",27.6
"1988-02-11",27.3
"1988-02-12",26.58
"1988-02-13",25.28
"1988-02-14",24.23
"1988-02-15",23.63
"1988-02-16",22.88
"1988-02-17",21.65
"1988-02-18",19.83
"1988-02-19",17.58
"1988-02-20",16.95
"1988-02-21",15.6
"1988-02-22",15.28
"1988-02-23",15.68
"1988-02-24",15.43
"1988-02-25",14.65
"1988-02-26",13.45
"1988-02-27",12.5
"1988-02-28",12.08
"1988-02-29",12.83
"1988-03-01",11.98
"1988-03-02",12.48
"1988-03-03",12
"1988-03-04",10.98
"1988-03-05",9.07
"1988-03-06",7.75
"1988-03-07",7.48
"1988-03-08",7.48
"1988-03-09",7.45
"1988-03-10",6.18
"1988-03-11",5.45
"1988-03-12",5.15
"1988-03-13",5.43
"1988-03-14",6.05
"1988-03-15",7.5
"1988-03-16",8.25
"1988-03-17",8.68
"1988-03-18",9.6
"1988-03-19",10.75
"1988-03-20",11.9
"1988-03-21",12.23
"1988-03-22",11.08
"1988-03-23",9.82
"1988-03-24",8.48
"1988-03-25",7.43
"1988-03-26",7.65
"1988-03-27",7.75
"1988-03-28",7.05
"1988-03-29",6.5
"1988-03-30",6.48
"1988-03-31",6.58
"1988-04-01",6.1
"1988-04-02",5.38
"1988-04-03",4.43
"1988-04-04",3.38
"1988-04-05",1.8
"1988-04-06",0.55
"1988-04-07",0.15
"1988-04-08",1.45
"1988-04-09",2.25
"1988-04-10",3.35
"1988-04-11",3.85
"1988-04-12",4.03
"1988-04-13",3.03
"1988-04-14",2.17
"1988-04-15",1.63
"1988-04-16",1.83
"1988-04-17",1.13
"1988-04-18",0.13
"1988-04-19",0.1
"1988-04-20",0.4
"1988-04-21",1.02
"1988-04-22",1.63
"1988-04-23",1.38
"1988-04-24",0.93
"1988-04-25",0.7
"1988-04-26",1.05
"1988-04-27",0.15
"1988-04-28",1.38
"1988-04-29",3.08
"1988-04-30",4.97
"1988-05-01",6.83
"1988-05-02",8.07
"1988-05-03",8.4
"1988-05-04",7.95
"1988-05-05",8.35
"1988-05-06",8.85
"1988-05-07",9.65
"1988-05-08",9.5
"1988-05-09",9.07
"1988-05-10",8.13
"1988-05-11",6.95
"1988-05-12",6.1
"1988-05-13",6.18
"1988-05-14",7.13
"1988-05-15",7.15
"1988-05-16",6.95
"1988-05-17",6.8
"1988-05-18",7.33
"1988-05-19",7.8
"1988-05-20",8.65
"1988-05-21",9.13
"1988-05-22",10.07
"1988-05-23",10.78
"1988-05-24",10.93
"1988-05-25",11.85
"1988-05-26",12.85
"1988-05-27",13.35
"1988-05-28",13.65
"1988-05-29",14.58
"1988-05-30",15.68
"1988-05-31",17.13
"1988-06-01",18.33
"1988-06-02",19.33
"1988-06-03",20.18
"1988-06-04",20.65
"1988-06-05",21.65
"1988-06-06",22.8
"1988-06-07",23.35
"1988-06-08",22.85
"1988-06-09",21.9
"1988-06-10",21.5
"1988-06-11",21.5
"1988-06-12",21.4
"1988-06-13",21.03
"1988-06-14",20.53
"1988-06-15",19.48
"1988-06-16",18.02
"1988-06-17",18.18
"1988-06-18",18.83
"1988-06-19",19.38
"1988-06-20",19.23
"1988-06-21",18.43
"1988-06-22",17.88
"1988-06-23",17.7
"1988-06-24",18
"1988-06-25",18.3
"1988-06-26",18.83
"1988-06-27",18.23
"1988-06-28",17.8
"1988-06-29",17.45
"1988-06-30",17.15
"1988-07-01",17.2
"1988-07-02",17.75
"1988-07-03",18.75
"1988-07-04",18.8
"1988-07-05",19.2
"1988-07-06",19.88
"1988-07-07",20.08
"1988-07-08",20.25
"1988-07-09",20.25
"1988-07-10",20.02
"1988-07-11",19.58
"1988-07-12",19.33
"1988-07-13",18.83
"1988-07-14",18.58
"1988-07-15",18.23
"1988-07-16",17.38
"1988-07-17",17
"1988-07-18",16.55
"1988-07-19",16.52
"1988-07-20",16.65
"1988-07-21",17.1
"1988-07-22",17.4
"1988-07-23",17.6
"1988-07-24",17.6
"1988-07-25",17.75
"1988-07-26",18.35
"1988-07-27",18.95
"1988-07-28",19.9
"1988-07-29",20.23
"1988-07-30",20.27
"1988-07-31",20.58
"1988-08-01",20.13
"1988-08-02",19.93
"1988-08-03",20.13
"1988-08-04",20
"1988-08-05",19.9
"1988-08-06",19.88
"1988-08-07",19.08
"1988-08-08",18.43
"1988-08-09",18.95
"1988-08-10",18.93
"1988-08-11",18.98
"1988-08-12",18.68
"1988-08-13",18.68
"1988-08-14",18.9
"1988-08-15",19.2
"1988-08-16",18.9
"1988-08-17",18.8
"1988-08-18",18.95
"1988-08-19",18.7
"1988-08-20",18.48
"1988-08-21",18.8
"1988-08-22",19.02
"1988-08-23",18.73
"1988-08-24",18.38
"1988-08-25",17.63
"1988-08-26",17.02
"1988-08-27",16.38
"1988-08-28",15.9
"1988-08-29",15.33
"1988-08-30",14.88
"1988-08-31",14.5
"1988-09-01",14.13
"1988-09-02",14.28
"1988-09-03",14.38
"1988-09-04",13.98
"1988-09-05",13.5
"1988-09-06",13.65
"1988-09-07",14.53
"1988-09-08",14.48
"1988-09-09",14.33
"1988-09-10",13.45
"1988-09-11",12.43
"1988-09-12",11.93
"1988-09-13",11.48
"1988-09-14",11.38
"1988-09-15",11.78
"1988-09-16",11.73
"1988-09-17",11.33
"1988-09-18",10.78
"1988-09-19",10.13
"1988-09-20",10.03
"1988-09-21",10.5
"1988-09-22",10.35
"1988-09-23",10
"1988-09-24",9.65
"1988-09-25",8.93
"1988-09-26",8.18
"1988-09-27",7.43
"1988-09-28",7.33
"1988-09-29",7.73
"1988-09-30",8.55
"1988-10-01",8.65
"1988-10-02",8.1
"1988-10-03",7.2
"1988-10-04",6.4
"1988-10-05",6.15
"1988-10-06",6.38
"1988-10-07",6.6
"1988-10-08",7
"1988-10-09",7.05
"1988-10-10",6.15
"1988-10-11",5.45
"1988-10-12",5.35
"1988-10-13",6.35
"1988-10-14",7.9
"1988-10-15",8.88
"1988-10-16",8.8
"1988-10-17",8.07
"1988-10-18",7.35
"1988-10-19",6.5
"1988-10-20",6.28
"1988-10-21",6.08
"1988-10-22",5.73
"1988-10-23",4.47
"1988-10-24",2.73
"1988-10-25",1.15
"1988-10-26",0.25
"1988-10-27",0.6
"1988-10-28",1.83
"1988-10-29",3.23
"1988-10-30",4.6
"1988-10-31",4.88
"1988-11-01",4.88
"1988-11-02",4.33
"1988-11-03",3.98
"1988-11-04",3.63
"1988-11-05",3.48
"1988-11-06",3
"1988-11-07",2.23
"1988-11-08",0.93
"1988-11-09",0.28
"1988-11-10",0.4
"1988-11-11",0.65
"1988-11-12",1.23
"1988-11-13",1.63
"1988-11-14",2.13
"1988-11-15",2.42
"1988-11-16",2.83
"1988-11-17",3.5
"1988-11-18",4.8
"1988-11-19",5.65
"1988-11-20",6.58
"1988-11-21",7.25
"1988-11-22",7.68
"1988-11-23",7.78
"1988-11-24",7.43
"1988-11-25",7.13
"1988-11-26",7.55
"1988-11-27",8.2
"1988-11-28",8.95
"1988-11-29",9.05
"1988-11-30",9.32
"1988-12-01",9.45
"1988-12-02",9.2
"1988-12-03",9.65
"1988-12-04",10.3
"1988-12-05",10.25
"1988-12-06",9.6
"1988-12-07",9.4
"1988-12-08",9.3
"1988-12-09",10.3
"1988-12-10",11.4
"1988-12-11",11.9
"1988-12-12",12.55
"1988-12-13",11.95
"1988-12-14",13.4
"1988-12-15",15.3
"1988-12-16",16.15
"1988-12-17",16.25
"1988-12-18",15.25
"1988-12-19",13.75
"1988-12-20",12.2
"1988-12-21",11.85
"1988-12-22",11.5
"1988-12-23",12.78
"1988-12-24",12.33
"1988-12-25",12.6
"1988-12-26",14
"1988-12-27",14.9
"1988-12-28",16.85
"1988-12-29",18.7
"1988-12-30",20.05
"1988-12-31",21.23
"1989-01-01",22.93
"1989-01-02",24.15
"1989-01-03",24.6
"1989-01-04",24.18
"1989-01-05",23.23
"1989-01-06",22.83
"1989-01-07",22.43
"1989-01-08",22.38
"1989-01-09",23.08
"1989-01-10",23.85
"1989-01-11",24.15
"1989-01-12",23.1
"1989-01-13",21.75
"1989-01-14",21
"1989-01-15",21.35
"1989-01-16",21.28
"1989-01-17",20.68
"1989-01-18",19.48
"1989-01-19",17.83
"1989-01-20",16.83
"1989-01-21",14.93
"1989-01-22",14.4
"1989-01-23",15.4
"1989-01-24",16.63
"1989-01-25",16.43
"1989-01-26",15.8
"1989-01-27",14.3
"1989-01-28",13.25
"1989-01-29",11.9
"1989-01-30",10
"1989-01-31",11.63
"1989-02-01",13.75
"1989-02-02",15.15
"1989-02-03",16.13
"1989-02-04",17.23
"1989-02-05",18.23
"1989-02-06",19.27
"1989-02-07",20.38
"1989-02-08",22.28
"1989-02-09",23.98
"1989-02-10",22.5
"1989-02-11",19.98
"1989-02-12",17.48
