habitat,cap-surface,cap-shape,cap-color,stalk-color-above-ring,stalk-shape,ring-number,odor,gill-attachment,veil-color,stalk-surface-below-ring,gill-spacing,spore-print-color,gill-color,class,population,stalk-color-below-ring,ring-type,bruises,stalk-surface-above-ring,veil-type,stalk-root,gill-size
urban,smooth,convex,brown,white,enlarging,one,pungent,free,white,smooth,close,black,black,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
grasses,smooth,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,smooth,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,black,brown,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
grasses,smooth,convex,gray,white,tapering,one,none,free,white,smooth,crowded,brown,black,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
grasses,scaly,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,smooth,bell,white,white,enlarging,one,almond,free,white,smooth,close,black,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,scaly,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,black,pink,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
meadows,smooth,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,black,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,scaly,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
urban,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,brown,black,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
grasses,fibrous,convex,brown,white,tapering,one,none,free,white,fibrous,crowded,black,brown,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
